"","Tempo medio (seg)","N. medio de comp.","N. medio de mov.","metodo","ordenamento","comp.vetor"
"s.inser.aleat.500",2.97738084316254,62275,62277,"Insercao","Aleatorizado","500"
"s.inser.aleat.1000",11.6745783758163,246373,246375,"Insercao","Aleatorizado","1000"
"s.inser.aleat.3000",1.9267829879125,2238842,2238844,"Insercao","Aleatorizado","3000"
"s.inser.aleat.7000",9.92308298619588,12221289,12221291,"Insercao","Aleatorizado","7000"
"s.inser.aleat.15000",45.7423378656705,56194105,56194107,"Insercao","Aleatorizado","15000"
"s.selec.aleat.500",0.0414909839630127,1497,124750,"Selecao","Aleatorizado","500"
"s.selec.aleat.1000",0.106619129180908,2997,499500,"Selecao","Aleatorizado","1000"
"s.selec.aleat.3000",0.601169009208679,8997,4498500,"Selecao","Aleatorizado","3000"
"s.selec.aleat.7000",2.76282938957214,20997,24496500,"Selecao","Aleatorizado","7000"
"s.selec.aleat.15000",10.6495749902725,44997,112492500,"Selecao","Aleatorizado","15000"
"s.qsort.aleat.500",0.218193855285645,500,750,"QuickSort","Aleatorizado","500"
"s.qsort.aleat.1000",0.518066878318787,1000,1500,"QuickSort","Aleatorizado","1000"
"s.qsort.aleat.3000",1.97428411006927,3000,4500,"QuickSort","Aleatorizado","3000"
"s.qsort.aleat.7000",4.57060338020325,7000,10500,"QuickSort","Aleatorizado","7000"
"s.qsort.aleat.15000",12.4582032394409,15000,22500,"QuickSort","Aleatorizado","15000"
